phrase,diacritics_phrase
"încă în primele zile ale epidemiei, într-un moment în care paznicii găseau firesc","inca in primele zile ale epidemiei, intr-un moment in care paznicii gaseau firesc"
"să cedeze unor impulsuri de compasiune. Dar, după câtva timp, când aceiași","sa cedeze unor impulsuri de compasiune. Dar, dupa catva timp, cand aceiasi"
"paznici au fost convinși și ei de gravitatea situației, ei au refuzat să-și ia astfel de","paznici au fost convinsi si ei de gravitatea situatiei, ei au refuzat sa-si ia astfel de"
răspunderi ale căror urmarinu le puteau prevedea. Comunicațiile telefonice,raspunderi ale caror urmarinu le puteau prevedea. Comunicatiile telefonice
"interurbane, permise la început, au provocat asemenea fmbulzeală la cabinele","interurbane, permise la inceput, au provocat asemenea fmbulzeala la cabinele"
"publice și pe fire, încât au fost complet suspendate timp de câteva zile, apoi","publice si pe fire, incat au fost complet suspendate timp de cateva zile, apoi"
"sever limitate la ceea ce se numea cazuri urgente, ca moartea, nașterea și","sever limitate la ceea ce se numea cazuri urgente, ca moartea, nasterea si"
căsătoria. Telegramele au rămas atunci singura noastră soluție. Ființe pe care le,casatoria. Telegramele au ramas atunci singura noastra solutie. Fiinte pe care le
"lega gândirea, inima și trupul au fost silite să caute semnele acestei vechi","lega gandirea, inima si trupul au fost silite sa caute semnele acestei vechi"
"comuniuni în majusculele unei telegrame de zece cuvinte. i cum de fapt,","comuniuni in majusculele unei telegrame de zece cuvinte. i cum de fapt,"
"formulele care pot fi folosite într-o telegramă sunt repede epuizate, vieți","formulele care pot fi folosite intr-o telegrama sunt repede epuizate, vieti"
îndelung împărtășite sau pasiuni dureroase s-au rezumat curând la un schimb,indelung impartasite sau pasiuni dureroase s-au rezumat curand la un schimb
"periodic de formule gata pregătite, cum ar fi: ,Sunt bine. Sainatos. Mă gândesc la","periodic de formule gata pregatite, cum ar fi: ,Sunt bine. Sainatos. Ma gandesc la"
ține. Te iubesc.'',tine. Te iubesc.''
"Unii dintre noi, totuși, se încăpățânau să scrie și inventau fără întrerupere,","Unii dintre noi, totusi, se incapatanau sa scrie si inventau fara intrerupere,"
"pentru a comunica cu cei din afară, combinații care sfârșeau totdeauna prin a se","pentru a comunica cu cei din afara, combinatii care sfarseau totdeauna prin a se"
"dovedi iluzorii. Și chiar dacă unele din mijloacele pe care le inventam reușeau,","dovedi iluzorii. Si chiar daca unele din mijloacele pe care le inventam reuseau,"
"nu știam nimic de ele, neprimind răspuns. Săptămâni întregi n-am putut face","nu stiam nimic de ele, neprimind raspuns. Saptamani intregi n-am putut face"
"altceva decât să reîncepem mereu și mereu aceeași scrisoare, să recopiem","altceva decat sa reincepem mereu si mereu aceeasi scrisoare, sa recopiem"
"aceleași știri și aceleași chemări, fn așa fel încât, după un oarecare timp,","aceleasi stiri si aceleasi chemari, fn asa fel incat, dupa un oarecare timp,"
"cuvintele care la început ieșiseră sângerând din inima noastră, se goleau apoi de","cuvintele care la inceput iesisera sangerand din inima noastra, se goleau apoi de"
"sensul lor. Le recopiam atunci mecanic, încercând să dăm, cu ajutorul acestor","sensul lor. Le recopiam atunci mecanic, incercand sa dam, cu ajutorul acestor"
"fraze moarte, semne despre viața noastră grea. i, până la urmă, față de acest","fraze moarte, semne despre viata noastra grea. i, pana la urma, fata de acest"
"monolog steril și încăpățânat, aceste conversații aride cu un perete, chemarea","monolog steril si incapatanat, aceste conversatii aride cu un perete, chemarea"
convențională a telegramei ni se părea de preferat.,conventionala a telegramei ni se parea de preferat.
"După câteva zile de altfel, când a devenit evident că nimeni nu va reuși să iasă","Dupa cateva zile de altfel, cand a devenit evident ca nimeni nu va reusi sa iasa"
"din orașul nostru, ne-a venit ideea să întrebăm dacă nu cumva întoarcerea celor","din orasul nostru, ne-a venit ideea sa intrebam daca nu cumva intoarcerea celor"
care plecaseră înaintea epidemiei putea fi autorizată. După câteva zile de,care plecasera inaintea epidemiei putea fi autorizata. Dupa cateva zile de
"gândire, prefectura a răspuns afirmativ. Dar preciza că repatriații nu ar putea, în","gandire, prefectura a raspuns afirmativ. Dar preciza ca repatriatii nu ar putea, in"
"nici un caz, să iasă din nou din oraș și că, dacă erau liberi să vină, nu vor filiberi","nici un caz, sa iasa din nou din oras si ca, daca erau liberi sa vina, nu vor filiberi"
"să plece iar. i de astă dată câteva familii, de altfel rare, au luat ușor lucrurile și,","sa plece iar. i de asta data cateva familii, de altfel rare, au luat usor lucrurile si,"
făcând să treacă înaintea oricărei prudente dorința pe care o aveau de a-și,facand sa treaca inaintea oricarei prudente dorinta pe care o aveau de a-si
"revedea rudele, le-au invitat pe acestea din urmă să profite de ocazie. Dar, foarte","revedea rudele, le-au invitat pe acestea din urma sa profite de ocazie. Dar, foarte"
"curând, prizonierii ciumei înțeleseseră primejdia la care i-ar expune pe cei","curand, prizonierii ciumei intelesesera primejdia la care i-ar expune pe cei"
chemați șl s-au resemnat să suporte despărțirea. În momentul cel mai grav al,chemati sl s-au resemnat sa suporte despartirea. In momentul cel mai grav al
"bolii, n-a fost văzut decât un caz în care sentimentele omenești au fost mai","bolii, n-a fost vazut decat un caz in care sentimentele omenesti au fost mai"
"puternice decât teama unei morți în chinuri. i n-a fost vorba, cum s-ar fi putut","puternice decat teama unei morti in chinuri. i n-a fost vorba, cum s-ar fi putut"
"crede, de doi amanți pe care iubirea, pe deasupra suferinței, fi zvârlea unul spre","crede, de doi amanti pe care iubirea, pe deasupra suferintei, fi zvarlea unul spre"
"celălalt, ci de bătrânul doctor Castel și de soția lui, căsătoriți de mulți ani.","celalalt, ci de batranul doctor Castel si de sotia lui, casatoriti de multi ani."
"Doamna Castel, cu câteva zile înaintea epidemiei, plecase într-un oraș vecin. Nu","Doamna Castel, cu cateva zile inaintea epidemiei, plecase intr-un oras vecin. Nu"
era nici măcar una din acele căsătorii care oferă lumii imaginea unei fericiri,era nici macar una din acele casatorii care ofera lumii imaginea unei fericiri
"exemplare și povestitorul este în măsură să spună că, după câte se pare, acești","exemplare si povestitorul este in masura sa spuna ca, dupa cate se pare, acesti"
soți nu erau până atunci siguri că erau mulțumiți de viața lor în comun. Dar,soti nu erau pana atunci siguri ca erau multumiti de viata lor in comun. Dar
această despărțire brutală și prelungită le dăduse posibilitatea să se convingă că,aceasta despartire brutala si prelungita le daduse posibilitatea sa se convinga ca
"nu puteau trăi unul departe de celălalt și că pe lângă acest adevăr, ieșit la iveală","nu puteau trai unul departe de celalalt si ca pe langa acest adevar, iesit la iveala"
"pe neașteptate, ciumă însemna prea puțin.","pe neasteptate, ciuma insemna prea putin."
"Era vorba de o excepție. În majoritatea cazurilor, despărțirea, era evident, nu","Era vorba de o exceptie. In majoritatea cazurilor, despartirea, era evident, nu"
"avea să înceteze decât o dată cu epidemia. Și pentru noi toți, sentimentul din care","avea sa inceteze decat o data cu epidemia. Si pentru noi toti, sentimentul din care"
se compunea viața noastră și pe care totuși credeam că-l cunoaștem bine,se compunea viata noastra si pe care totusi credeam ca-l cunoastem bine
"(oranienii, am mai spus-o, au pasiuni simple) luă o nouă înfățișare. Soți și amanți","(oranienii, am mai spus-o, au pasiuni simple) lua o noua infatisare. Soti si amanti"
"care aveau cea mai mare încredere în soția sau iubita lor, descopereau că sunt","care aveau cea mai mare incredere in sotia sau iubita lor, descopereau ca sunt"
"geloși. Bărbați care se credeau ușuratici în dragoste, își regăseau sentimentul","gelosi. Barbati care se credeau usuratici in dragoste, isi regaseau sentimentul"
"statornic. Fii care trăiseră pe lângă mama lor abia privind-o, legau toată","statornic. Fii care traisera pe langa mama lor abia privind-o, legau toata"
neliniștea și tot regretul de o cută a obrazului ei care le obseda amintirea.,nelinistea si tot regretul de o cuta a obrazului ei care le obseda amintirea.
"Această despărțire brutală, fără nici o posibilitate, fără viitor previzibil, ne lasă","Aceasta despartire brutala, fara nici o posibilitate, fara viitor previzibil, ne lasa"
"descumpăniți, incapabili să facem ceva împotriva amintirilor acestei prezențe,","descumpaniti, incapabili sa facem ceva impotriva amintirilor acestei prezente,"
"atât de apropiate încă și atât de fndepărtate în același timp, care ne umplea acum","atat de apropiate inca si atat de fndepartate in acelasi timp, care ne umplea acum"
"zilele. De fapt, sufeream de două ori- de suferința noastră întâi și apoi de cea pe","zilele. De fapt, sufeream de doua ori- de suferinta noastra intai si apoi de cea pe"
"care ne închipuiam că o îndură cei absenți, mamă, soție ori amantă.","care ne inchipuiam ca o indura cei absenti, mama, sotie ori amanta."
"În alte împrejurări, de altminteri, concetățenii noștri ar fi găsit o ieșire într-o","In alte imprejurari, de altminteri, concetatenii nostri ar fi gasit o iesire intr-o"
"viața mai exterioară și mai activă. Dar, în același timp, ciuma îi lăsa trândăviei, fi","viata mai exterioara si mai activa. Dar, in acelasi timp, ciuma ii lasa trandaviei, fi"
"silea să se învârtească, mereu, ca într-un cerc, în orașul lor posomorât și să se","silea sa se invarteasca, mereu, ca intr-un cerc, in orasul lor posomorat si sa se"
"dedea, zilnic jocurilor înșelătoare ale amintiri. Căci, îÎn plimbările lor fără țintă,","dedea, zilnic jocurilor inselatoare ale amintiri. Caci, iIn plimbarile lor fara tinta,"
"ajungeau să bată mereu aceleași drumuri și, fn cea mai mare parte a timpului,","ajungeau sa bata mereu aceleasi drumuri si, fn cea mai mare parte a timpului,"
"într-un oraș atât de mic, aceste drumuri erau tocmai acelea pe care altădatale","intr-un oras atat de mic, aceste drumuri erau tocmai acelea pe care altadatale"
străbătuseră cu cel care lipsea.,strabatusera cu cel care lipsea.
"Astfel, primul lucru pe care ciuma l-a adus concetățenilor noștri, a fost exilul.","Astfel, primul lucru pe care ciuma l-a adus concetatenilor nostri, a fost exilul."
"i povestitorul este convins că poate să scrie aici, în numele tuturor, ceea ce el","i povestitorul este convins ca poate sa scrie aici, in numele tuturor, ceea ce el"
"însuși a simțit atunci, pentru că el a simțit același lucru, în același timp cu mulți","insusi a simtit atunci, pentru ca el a simtit acelasi lucru, in acelasi timp cu multi"
"dintre concetățenii noștri. Da, era chiar sentimentul exilului, acest gol pe care-l","dintre concetatenii nostri. Da, era chiar sentimentul exilului, acest gol pe care-l"
"purtam mereu în noi, această emoție precisă, dorința nesocotită de a ne întoarce","purtam mereu in noi, aceasta emotie precisa, dorinta nesocotita de a ne intoarce"
"în urmă, sau, dimpotrivă, de a grăbi mersul timpului, aceste săgeți arzătoare ale","in urma, sau, dimpotriva, de a grabi mersul timpului, aceste sageti arzatoare ale"
"memoriei. Dacă, uneori, ne lăsăm duși de imaginație și ne plăcea să așteptăm","memoriei. Daca, uneori, ne lasam dusi de imaginatie si ne placea sa asteptam"
"soneria care vestea întoarcerea sau un pas familiar pe scară, dacă, în acele","soneria care vestea intoarcerea sau un pas familiar pe scara, daca, in acele"
"momente, consimteam să uităm că trenurile erau oprite, dacă ne hotărâm atunci","momente, consimteam sa uitam ca trenurile erau oprite, daca ne hotaram atunci"
să rămânem acasă la ora când în mod firesc un călător sosit cu expresul de seară,sa ramanem acasa la ora cand in mod firesc un calator sosit cu expresul de seara
"putea ajunge în cartierul nostru, bineînțeles aceste jocuri nu puteau dura. Venea","putea ajunge in cartierul nostru, bineinteles aceste jocuri nu puteau dura. Venea"
totdeauna un moment în care ne dădeam limpede seama că trenurile nu soseau.,totdeauna un moment in care ne dadeam limpede seama ca trenurile nu soseau.
Știam atunci că despărțirea noastră era menită să dureze și cai trebuia să încercăm,Stiam atunci ca despartirea noastra era menita sa dureze si cai trebuia sa incercam
"să ne împăcăm cu timpul. Începând din clipa aceea, reveneam de fapt la condiția","sa ne impacam cu timpul. Incepand din clipa aceea, reveneam de fapt la conditia"
"noastră de prizonieri, eram reduși la trecutul nostru și chiar dacă unii dintre noi","noastra de prizonieri, eram redusi la trecutul nostru si chiar daca unii dintre noi"
"erau ispitiți să trăiască fn viitor, renunțau repede la asta, cel puțin atât cât le era","erau ispititi sa traiasca fn viitor, renuntau repede la asta, cel putin atat cat le era"
"posibil, resimțind rănile pe care în cele din urmă imaginația le provoca celor care","posibil, resimtind ranile pe care in cele din urma imaginatia le provoca celor care"
se fncred în ea.,se fncred in ea.
"În special, toți concetățenii noștri au renunțat foarte repede, chiar în public, la","In special, toti concetatenii nostri au renuntat foarte repede, chiar in public, la"
"obiceiul pe care-l căpătaseră de a evalua durata despărțirii lor. De ce? Deoarece,","obiceiul pe care-l capatasera de a evalua durata despartirii lor. De ce? Deoarece,"
când cei mai pesimiști o fixaseră de exemplu la șase luni și epuizaseră dinainte,cand cei mai pesimisti o fixasera de exemplu la sase luni si epuizasera dinainte
toată amărăciunea acestor luni care urmau să vină și când își înălțaseră cu grijă,toata amaraciunea acestor luni care urmau sa vina si cand isi inaltasera cu grija
"curajul la nivelul acestei încercări și își încordaseră ultimele puteri ca să rămână,","curajul la nivelul acestei incercari si isi incordasera ultimele puteri ca sa ramana,"
"fără a se clinti, la înălțimea acestei suferințe prelungite peste un atât de lung gir","fara a se clinti, la inaltimea acestei suferinte prelungite peste un atat de lung gir"
"de zile, atunci, uneori, un prieten întâlnit întâmplător, o părere emisă de un ziar,","de zile, atunci, uneori, un prieten intalnit intamplator, o parere emisa de un ziar,"
o bănuială trecătoare sau o bruscă perspicacitate le dădea ideea că la urma urmei,o banuiala trecatoare sau o brusca perspicacitate le dadea ideea ca la urma urmei
nu e nici un motiv ca boala să nu dureze mai mult de șase luni și poate chiar un,nu e nici un motiv ca boala sa nu dureze mai mult de sase luni si poate chiar un
an sau mai mult.,an sau mai mult.
"În clipa aceea, prăbușirea curajului lor, a voinței, a rabdrii lor era atât de","In clipa aceea, prabusirea curajului lor, a vointei, a rabdrii lor era atat de"
bruscă încât li se părea cai nu vor mai putea niciodată să iasă la suprafață din,brusca incat li se parea cai nu vor mai putea niciodata sa iasa la suprafata din
această groapă. Își impuneau prin urmare să nu se gândească niciodată la,aceasta groapa. Isi impuneau prin urmare sa nu se gandeasca niciodata la
"termenul eliberării lor, să nu se mai întoarcă spre viitor și să țină mereu, ca să","termenul eliberarii lor, sa nu se mai intoarca spre viitor si sa tina mereu, ca sa"
"zicem așa, privirea plecată. Dar, firește, această prudență, acest mod de a vicleni","zicem asa, privirea plecata. Dar, fireste, aceasta prudenta, acest mod de a vicleni"
"durerea, de a băga sabia în teacă pentru a refuza lupta, erau prost răsplătite. În","durerea, de a baga sabia in teaca pentru a refuza lupta, erau prost rasplatite. In"
"același timp în care evitau o prăbușire de care se fereau cu spaimă, ei se lipseau","acelasi timp in care evitau o prabusire de care se fereau cu spaima, ei se lipseau"
"într-adevăr de aceste momente, la urma urmelor destul de dese, când puteau să","intr-adevar de aceste momente, la urma urmelor destul de dese, cand puteau sa"
"uite de ciumă, prinși de imaginile revederii lor viitoare. i astfel, eșuați la","uite de ciuma, prinsi de imaginile revederii lor viitoare. i astfel, esuati la"
"jumătatea drumului între aceste prăpăstii și aceste vârfuri, mai mult pluteau decât","jumatatea drumului intre aceste prapastii si aceste varfuri, mai mult pluteau decat"
"trăiau, lăsându-se în voia unor zile fără noimă și a unor amintiri sterile, umbre","traiau, lasandu-se in voia unor zile fara noima si a unor amintiri sterile, umbre"
rătăcitoare care n-ar fi putut să capete tărie decât primind să se fnrădăcineze fn,ratacitoare care n-ar fi putut sa capete tarie decat primind sa se fnradacineze fn
pământul durerii lor.,pamantul durerii lor.
"Ei resimțeau astfel suferința adâncă a tuturor prizonierilor și a tuturor exilaților,","Ei resimteau astfel suferinta adanca a tuturor prizonierilor si a tuturor exilatilor,"
care înseamnă a trăicu o memorie care nu le folosește la nimic. Acest trecut,care inseamna a traicu o memorie care nu le foloseste la nimic. Acest trecut
"chiar, la care ei se gândeau fără încetare, nu avea decât gustul regretului. Ar fi","chiar, la care ei se gandeau fara incetare, nu avea decat gustul regretului. Ar fi"
"vrut, într-adevăr, să izbutească să-i adauge acestui trecut tot ceea ce deplângeau","vrut, intr-adevar, sa izbuteasca sa-i adauge acestui trecut tot ceea ce deplangeau"
că nu făcuseră când mai putuseră încă s-o facă împreună cu cel sau cu cea pe,ca nu facusera cand mai putusera inca s-o faca impreuna cu cel sau cu cea pe
"care-i așteptau- la fel cum tuturor împrejurărilor, chiar relativ fericite, ale vieții","care-i asteptau- la fel cum tuturor imprejurarilor, chiar relativ fericite, ale vietii"
"lor actuale de prizonieri, îl alăturau pe cel absent și situația în care se aflau atunci","lor actuale de prizonieri, il alaturau pe cel absent si situatia in care se aflau atunci"
"nu-i putea mulțumi. Nerăbdători cu prezentul lor, dușmani ai propriului trecut și","nu-i putea multumi. Nerabdatori cu prezentul lor, dusmani ai propriului trecut si"
"lipsiți de viitor, semănăm astfel mult cu cei pe care dreptatea sau ura omenească","lipsiti de viitor, semanam astfel mult cu cei pe care dreptatea sau ura omeneasca"
"i face să trăiască în spatele grațiilor. Și ca să sfârșim, singurul mod de a scăpa de","i face sa traiasca in spatele gratiilor. Si ca sa sfarsim, singurul mod de a scapa de"
"aceasta vacant insuportabilă era de a pune din nou, cu ajutorul imaginației,","aceasta vacant insuportabila era de a pune din nou, cu ajutorul imaginatiei,"
trenurile în mișcare și de a umple orele cu țârâitul repetat al unei sonerii care,trenurile in miscare si de a umple orele cu taraitul repetat al unei sonerii care
totuși rămânea cu încăpățânare tăcută.,totusi ramanea cu incapatanare tacuta.
"Dar dacă era exil, în majoritatea cazurilor era vorba de un exil acasă. i cu toate","Dar daca era exil, in majoritatea cazurilor era vorba de un exil acasa. i cu toate"
"ca povestitorul n-a cunoscut decât exilul întregii lumi, el nu trebuie să-iuite pe","ca povestitorul n-a cunoscut decat exilul intregii lumi, el nu trebuie sa-iuite pe"
"cei, ca ziaristul Rambert sau alții, pentru care, dimpotrivă, suferințele despărțirii","cei, ca ziaristul Rambert sau altii, pentru care, dimpotriva, suferintele despartirii"
"se amplificaseră prin faptul că, fiind căilători surprinși de ciumă și reținuți în","se amplificasera prin faptul ca, fiind cailatori surprinsi de ciuma si retinuti in"
"oraș, ei se aflau în același timp departe de ființe la care nu se puteau întoarce și","oras, ei se aflau in acelasi timp departe de fiinte la care nu se puteau intoarce si"
"de țara lor natală. În exilul general, ei erau cei mai exilați, căci dacă timpul","de tara lor natala. In exilul general, ei erau cei mai exilati, caci daca timpul"
"stârnea în ei, ca și în noi toți, neliniștea acută care îi e proprie, ei erau legați și de","starnea in ei, ca si in noi toti, nelinistea acuta care ii e proprie, ei erau legati si de"
spațiu și se izbeau fără încetare de pereții care despărțeau adăpostul lor ciumat de,spatiu si se izbeau fara incetare de peretii care desparteau adapostul lor ciumat de
"patria lor pierdută. Fără îndoială, ei erau cei pe care fi vedeai rătăcind la orice oră","patria lor pierduta. Fara indoiala, ei erau cei pe care fi vedeai ratacind la orice ora"
"din zi fn orașul prăfuit, chemând în tăcere seri și dimineți ale țării lor pe care","din zi fn orasul prafuit, chemand in tacere seri si dimineti ale tarii lor pe care"
numai ei singuri le cunoșteau. Ei își hrăneau atunci durerea cu semne,numai ei singuri le cunosteau. Ei isi hraneau atunci durerea cu semne
"imponderabile și cu mesaje tulburătoare, cum ar fi un zbor de rândunele, o rouă a","imponderabile si cu mesaje tulburatoare, cum ar fi un zbor de randunele, o roua a"
asfințitului sau acele raze ciudate pe care soarele le părăsește uneori pe străzile,asfintitului sau acele raze ciudate pe care soarele le paraseste uneori pe strazile
"pustii. În fața acestei lumi exterioare care te poate întotdeauna salva din orice, ei","pustii. In fata acestei lumi exterioare care te poate intotdeauna salva din orice, ei"
"închideau ochii, fncăpățânați cum erau să mângâie himerele lor prea reale și să","inchideau ochii, fncapatanati cum erau sa mangaie himerele lor prea reale si sa"
"urmăreasca cu toate puterile imaginile unui pământ unde o anume lumină, două","urmareasca cu toate puterile imaginile unui pamant unde o anume lumina, doua"
"sau trei dealuri, arborele favorit și chipuri de femei, compuneau un climat de","sau trei dealuri, arborele favorit si chipuri de femei, compuneau un climat de"
neînlocuit pentru ei.,neinlocuit pentru ei.
"Pentru a vorbi în sfârșit în mod mai precis despre îndrăgostiți, care sunt cei mai","Pentru a vorbi in sfarsit in mod mai precis despre indragostiti, care sunt cei mai"
"interesanți și despre care naratorului îi este poate mai la îndemână să vorbească,","interesanti si despre care naratorului ii este poate mai la indemana sa vorbeasca,"
"ei mai erau chinuiți și de alte neliniști, printre care trebuie semnalată remușcarea.","ei mai erau chinuiti si de alte nelinisti, printre care trebuie semnalata remuscarea."
"Această situație le permitea, într-adevăr, să-și scruteze sentimentul cu un fel de","Aceasta situatie le permitea, intr-adevar, sa-si scruteze sentimentul cu un fel de"
"obiectivitate febrilă. Șirar se întâmplă că, în aceste ocazii, slăbiciunile să nu le","obiectivitate febrila. Sirar se intampla ca, in aceste ocazii, slabiciunile sa nu le"
apără cât se poate de limpede. Pentru întâia oară simțeau cât de dificil e să-ți,apara cat se poate de limpede. Pentru intaia oara simteau cat de dificil e sa-ti
imaginezi precis faptele și gesturile celui care lipsea. Deplângeau atunci faptul,imaginezi precis faptele si gesturile celui care lipsea. Deplangeau atunci faptul
că n-aveau habar despre felul cum își petrecea celălalt timpul; se învinuiau de,ca n-aveau habar despre felul cum isi petrecea celalalt timpul; se invinuiau de
ugurința cu care neglijaseră să se informeze despre aceasta și se prefăcuseră a,ugurinta cu care neglijasera sa se informeze despre aceasta si se prefacusera a
"crede că, pentru o ființă care iubește, ocupația celui iubit nu este izvorul tuturor","crede ca, pentru o fiinta care iubeste, ocupatia celui iubit nu este izvorul tuturor"
"bucuriilor. Le era ușor, fncepând cu această clipă, să se reîntoarcă la dragostea","bucuriilor. Le era usor, fncepand cu aceasta clipa, sa se reintoarca la dragostea"
"lor și să-i cerceteze imperfecțiunile, în vremuri obignuite, știam cu toții, conștient","lor si sa-i cerceteze imperfectiunile, in vremuri obignuite, stiam cu totii, constient"
"sau nu, că nu există dragoste care să nu se poată întrece pe sine și acceptăm","sau nu, ca nu exista dragoste care sa nu se poata intrece pe sine si acceptam"
"totuși cu mai mult sau mai puțin calm, că a noastră să rămână mediocră. Dar","totusi cu mai mult sau mai putin calm, ca a noastra sa ramana mediocra. Dar"
"amintirea este mai exigentă. Și, în chip foarte logic, această nenorocire care ne","amintirea este mai exigenta. Si, in chip foarte logic, aceasta nenorocire care ne"
"venea din afară și care lovea un oraș întreg, nune aducea numai o suferință","venea din afara si care lovea un oras intreg, nune aducea numai o suferinta"
nedreaptă de care am fi putut să ne indignăm. Ea ne provoca totodată să ne-o,nedreapta de care am fi putut sa ne indignam. Ea ne provoca totodata sa ne-o
"căutăm singuri, silindu-ne astfel să admitem durerea. Era unul din modurile pe","cautam singuri, silindu-ne astfel sa admitem durerea. Era unul din modurile pe"
care le folosea boala ca să abată atenția și să încurce lucrurile.,care le folosea boala ca sa abata atentia si sa incurce lucrurile.
"Astfel, fiecare a fost nevoit să accepte să-și trăiască ziua clipă de clipă, fără a se","Astfel, fiecare a fost nevoit sa accepte sa-si traiasca ziua clipa de clipa, fara a se"
gândi la ziua de mâine și singur în fața cerului. Această renunțare generală care,gandi la ziua de maine si singur in fata cerului. Aceasta renuntare generala care
putea cu timpul să fortifice caracterele începea cu toate acestea prin a le face să,putea cu timpul sa fortifice caracterele incepea cu toate acestea prin a le face sa
"devina ușuratice. Unii dintre concetățenii noștri, de pildă, erau atunci supuși unei","devina usuratice. Unii dintre concetatenii nostri, de pilda, erau atunci supusi unei"
"alte sclavii care îi aservea soarelui său ploii. Văzându-i, s-ar fi putut crede că","alte sclavii care ii aservea soarelui sau ploii. Vazandu-i, s-ar fi putut crede ca"
"primeau pentru întâia oară și în mod direct, senzația schimbării vremii. Aveau un","primeau pentru intaia oara si in mod direct, senzatia schimbarii vremii. Aveau un"
"aer vesel la simpla vizită a unei lumini aurii, în timp ce zilele de ploaie puneau","aer vesel la simpla vizita a unei lumini aurii, in timp ce zilele de ploaie puneau"
"un val gros peste față și gândurile lor. Câteva săptămâni mai înainte, ei erau","un val gros peste fata si gandurile lor. Cateva saptamani mai inainte, ei erau"
scutiți de această slăbiciune și de această aservire nesocotită prin faptul că nu,scutiti de aceasta slabiciune si de aceasta aservire nesocotita prin faptul ca nu
"erau singuri în fața lumii și pentru că, într-o anumită măsură, ființa care trăia cu","erau singuri in fata lumii si pentru ca, intr-o anumita masura, fiinta care traia cu"
"ei se așeză între ei și univers. Începând din această clipă, dimpotrivă, ei au fost,","ei se aseza intre ei si univers. Incepand din aceasta clipa, dimpotriva, ei au fost,"
"vădit, dați pe mâna capriciilor cerului, adică au suferit și au sperat fără motiv.","vadit, dati pe mana capriciilor cerului, adica au suferit si au sperat fara motiv."
"În aceste extremitați ale singurătății, în sfârșit, nimeni nu putea spera în ajutorul","In aceste extremitati ale singuratatii, in sfarsit, nimeni nu putea spera in ajutorul"
"vecinului și fiecare rămânea singur cu preocupările lui. Dacă unul din noi, din","vecinului si fiecare ramanea singur cu preocuparile lui. Daca unul din noi, din"
"întâmplare, încercă să se destăinuie sau să spună câte ceva din cele ce simțea,","intamplare, incerca sa se destainuie sau sa spuna cate ceva din cele ce simtea,"
"răspunsul pe care îl primea, oricare ar fi fost, 1l jignea, de cele mai multe ori.","raspunsul pe care il primea, oricare ar fi fost, 1l jignea, de cele mai multe ori."
Observă atunci că interlocutorul lui și cu el nu vorbeau despre același lucru. El,Observa atunci ca interlocutorul lui si cu el nu vorbeau despre acelasi lucru. El
"exprimă, într-adevăr, ceva din adâncul lungilor lui zile de obsesii și de suferințe","exprima, intr-adevar, ceva din adancul lungilor lui zile de obsesii si de suferinte"
și imaginea pe care voia s-o comunice se copsese fndelung la focul așteptării și,si imaginea pe care voia s-o comunice se copsese fndelung la focul asteptarii si
"al pasiunii. Celălalt, dimpotrivă, își fnchipuia că este vorba de o emoție","al pasiunii. Celalalt, dimpotriva, isi fnchipuia ca este vorba de o emotie"
"convențional, de o durere care s-ar vinde la orice tarabă, de o melancolie de","conventional, de o durere care s-ar vinde la orice taraba, de o melancolie de"
"serie. Binevoitor sau ostil, răspunsul nimerea totdeauna alături, trebuia să renunți","serie. Binevoitor sau ostil, raspunsul nimerea totdeauna alaturi, trebuia sa renunti"
"la el. Sau, cel puțin, cei pentru care tăcerea era de nesuportat și nu puteau găsi la","la el. Sau, cel putin, cei pentru care tacerea era de nesuportat si nu puteau gasi la"
"ceilalți adevăratul grai al inimii, se resemnau să adopte limba care se folosește pe","ceilalti adevaratul grai al inimii, se resemnau sa adopte limba care se foloseste pe"
"toate drumurile și să vorbească și ei, într-un mod convențional, acela al simplei","toate drumurile si sa vorbeasca si ei, intr-un mod conventional, acela al simplei"
"relatări și al faptului divers, al cronicii zilnice întrucâtva. Și acolo, durerile cele","relatari si al faptului divers, al cronicii zilnice intrucatva. Si acolo, durerile cele"
mai adevărate au luat obiceiul să se traducă în formulele banale ale conversației.,mai adevarate au luat obiceiul sa se traduca in formulele banale ale conversatiei.
Numai cu acest preț puteau prizonierii ciumei să obțină mila portarului lor sau,Numai cu acest pret puteau prizonierii ciumei sa obtina mila portarului lor sau
interesul celor care îi ascultau.,interesul celor care ii ascultau.
"Totuși și acesta este lucrul cel mai important, oricât de dureroase ar fi fost","Totusi si acesta este lucrul cel mai important, oricat de dureroase ar fi fost"
"aceste neliniști, oricât de greu de dus ar fi fost această inimă totuși goală, se","aceste nelinisti, oricat de greu de dus ar fi fost aceasta inima totusi goala, se"
"poate prea bine spune că acești exilați, în prima perioadă a ciumei, au fost niște","poate prea bine spune ca acesti exilati, in prima perioada a ciumei, au fost niste"
"privilegiați. Într-adevăr, chiar în momentul fn care populația începea să-și piardai","privilegiati. Intr-adevar, chiar in momentul fn care populatia incepea sa-si piardai"
"capul, gândul lor era întors cu totul spre ființa pe care o așteptau. În deznădejdea","capul, gandul lor era intors cu totul spre fiinta pe care o asteptau. In deznadejdea"
"generală, egoismul dragostei îi apără și, dacă se gândeau la ciumă, n-o făceau","generala, egoismul dragostei ii apara si, daca se gandeau la ciuma, n-o faceau"
